Date,Open,High,Low,Close,Volume
2020-04-25,0.177,0.1888,0.1734,0.1826,16189193.77
2020-04-26,0.1823,0.1889,0.1813,0.184,8443740.22
2020-04-27,0.184,0.1855,0.1758,0.1811,8987419.9
2020-04-28,0.1813,0.1841,0.1754,0.1835,8920434.44
2020-04-29,0.1835,0.1975,0.1827,0.1938,19623411.28
2020-04-30,0.194,0.1993,0.1775,0.1836,20349011.26
2020-05-01,0.183,0.1934,0.1826,0.1874,8647141.17
2020-05-02,0.1877,0.1925,0.187,0.1909,8133032.57
2020-05-03,0.1909,0.1937,0.1822,0.1847,8825435.14
2020-05-04,0.1848,0.1893,0.1745,0.1865,9332183.89
2020-05-05,0.1865,0.19,0.1812,0.1859,6769293.01
2020-05-06,0.1858,0.1893,0.1776,0.1785,9796937.92
2020-05-07,0.1785,0.1855,0.1756,0.1847,11353083.0
2020-05-08,0.185,0.238,0.1847,0.2279,82162148.13
2020-05-09,0.2274,0.2555,0.2147,0.2172,86760039.85
2020-05-10,0.2175,0.2177,0.1784,0.1957,70081527.25
2020-05-11,0.1959,0.2002,0.1781,0.1835,35024891.71
2020-05-12,0.1836,0.2077,0.1829,0.2072,27199303.05
2020-05-13,0.2072,0.2117,0.1972,0.2024,22122870.23
2020-05-14,0.2026,0.2081,0.1956,0.2003,17984538.98
2020-05-15,0.2008,0.2136,0.198,0.1988,27009240.45
2020-05-16,0.1989,0.2076,0.1965,0.2034,13857981.21
2020-05-17,0.2034,0.2163,0.2011,0.2051,21037435.74
2020-05-18,0.2049,0.2123,0.2036,0.2102,14670617.83
2020-05-19,0.2102,0.2102,0.2032,0.2067,12541969.55
2020-05-20,0.2066,0.2121,0.1985,0.2039,16054933.23
2020-05-21,0.204,0.2058,0.1878,0.1954,17935698.2
2020-05-22,0.1953,0.2091,0.1923,0.2057,14078376.92
2020-05-23,0.206,0.211,0.2005,0.2028,10852790.46
2020-05-24,0.2027,0.2082,0.1929,0.1931,12459901.1
2020-05-25,0.1929,0.2061,0.1915,0.205,14662477.44
2020-05-26,0.2051,0.2092,0.1999,0.2035,16204008.29
2020-05-27,0.2034,0.2078,0.2004,0.2074,12283348.69
2020-05-28,0.2073,0.2141,0.2045,0.2128,15334993.75
2020-05-29,0.2129,0.2153,0.2075,0.2092,11923532.16
