Date,Open,High,Low,Close,Volume
2020-11-26,10.0,12.223,5.861,5.861,103893.92
2020-11-27,5.8,7.05,4.68,6.057,89997.6
2020-11-28,6.11,6.466,4.987,5.491,7115.78
2020-11-29,5.575,5.892,4.281,4.431,23447.56
2020-11-30,4.4,4.4,2.888,3.214,315027.12
2020-12-01,3.25,3.818,2.937,3.354,144650.74
2020-12-02,3.384,3.613,2.062,2.244,449278.29
2020-12-03,2.259,2.475,1.82,1.96,808055.11
2020-12-04,1.973,2.66,1.893,2.539,807544.48
2020-12-05,2.566,2.673,1.898,1.898,887004.47
2020-12-06,1.904,2.271,1.884,2.116,604913.49
2020-12-07,2.115,2.169,1.8,1.916,962247.51
2020-12-08,1.942,2.85,1.915,2.631,1600075.96
2020-12-09,2.66,3.05,2.143,2.282,1132807.92
2020-12-10,2.272,2.854,2.255,2.797,790088.92
2020-12-11,2.755,3.23,2.456,2.757,1259574.57
2020-12-12,2.74,2.74,2.3,2.431,763222.85
2020-12-13,2.45,2.528,1.998,2.048,688099.73
2020-12-14,2.048,2.254,1.73,1.934,897369.43
2020-12-15,1.934,2.004,1.818,1.91,669441.13
2020-12-16,1.91,2.167,1.601,1.72,654459.25
2020-12-17,1.718,1.977,1.585,1.85,520873.57
2020-12-18,1.87,2.043,1.569,1.569,277202.32
2020-12-19,1.566,1.62,1.344,1.558,1618716.53
2020-12-20,1.565,1.75,1.423,1.61,1150001.93
2020-12-21,1.614,2.023,1.511,1.857,655076.69
2020-12-22,1.85,2.117,1.544,1.636,745001.79
2020-12-23,1.644,2.999,1.629,2.159,963231.32
2020-12-24,2.166,2.423,1.889,1.889,366240.11
2020-12-25,1.885,2.147,1.81,1.929,209820.61
2020-12-26,1.925,2.266,1.904,2.215,108339.37
2020-12-27,2.181,2.335,1.81,2.097,274672.5
2020-12-28,2.082,2.138,1.568,1.815,305646.85
2020-12-29,1.805,2.216,1.75,2.031,138939.42
2020-12-30,2.025,2.075,1.61,1.852,259470.62
2020-12-31,1.868,2.019,1.47,1.48,330360.8
2021-01-01,1.473,1.581,1.413,1.413,202389.77
2021-01-02,1.41,1.647,1.382,1.541,187639.01
2021-01-03,1.561,1.689,1.239,1.29,290596.73
2021-01-04,1.29,1.37,0.706,0.712,2622384.04
2021-01-05,0.708,0.894,0.551,0.598,3108988.9
2021-01-06,0.598,0.733,0.589,0.645,1448593.35
2021-01-07,0.642,0.766,0.499,0.577,1975842.68
2021-01-08,0.575,0.768,0.459,0.522,988729.31
2021-01-09,0.522,0.59,0.421,0.443,1221680.25
2021-01-10,0.435,0.45,0.291,0.328,8605996.43
2021-01-11,0.328,0.508,0.23,0.238,16503679.42
2021-01-12,0.239,0.271,0.129,0.146,29673497.79
2021-01-13,0.147,0.166,0.098,0.1,30740371.05
2021-01-14,0.101,0.114,0.087,0.098,26841679.26
2021-01-15,0.098,0.101,0.0582,0.05962,48718628.67
2021-01-16,0.05968,0.05968,0.03684,0.04558,56338741.53
2021-01-17,0.04658,0.05024,0.0347,0.04133,58512477.88
2021-01-18,0.04116,0.045,0.03305,0.03305,40919217.93
2021-01-19,0.03304,0.03845,0.02941,0.03799,60232910.87
2021-01-20,0.03821,0.046,0.029,0.02997,80699037.81
2021-01-21,0.02953,0.04559,0.02908,0.04006,112501405.16
2021-01-22,0.04006,0.04758,0.0209,0.023,110109108.65
