Date,Open,High,Low,Close,Volume
2021-03-18,0.085,1.0,0.085,0.2054,1674520233.32
2021-03-19,0.2054,0.2057,0.1665,0.1685,416178135.87
2021-03-20,0.1684,0.1777,0.1526,0.1559,316952217.9
2021-03-21,0.156,0.18,0.1546,0.1692,311298527.48
2021-03-22,0.1695,0.1698,0.1313,0.1409,233826219.01
2021-03-23,0.1407,0.148,0.126,0.1304,199447651.56
2021-03-24,0.1304,0.149,0.115,0.1213,218731454.43
2021-03-25,0.1212,0.1269,0.1118,0.115,140023977.23
2021-03-26,0.1149,0.1363,0.1149,0.1306,173370755.41
2021-03-27,0.1307,0.145,0.1251,0.1383,189043947.52
2021-03-28,0.1384,0.159,0.1355,0.1454,291046070.56
2021-03-29,0.1454,0.153,0.1401,0.1434,162934302.75
2021-03-30,0.1435,0.1545,0.14,0.1452,184175407.75
2021-03-31,0.1452,0.1489,0.1305,0.1383,177122673.64
2021-04-01,0.1384,0.145,0.132,0.1354,122502872.79
2021-04-02,0.1353,0.1493,0.1329,0.1397,186936525.37
2021-04-03,0.1397,0.142,0.1213,0.1242,153352369.03
2021-04-04,0.1239,0.135,0.1221,0.1314,113664407.89
2021-04-05,0.1316,0.1396,0.124,0.1302,156844878.33
2021-04-06,0.1302,0.1371,0.1245,0.1283,128527442.81
2021-04-07,0.1283,0.129,0.0987,0.11,268990449.79
2021-04-08,0.11,0.1218,0.1091,0.1193,169267473.06
2021-04-09,0.1193,0.1345,0.1187,0.1327,248974083.05
2021-04-10,0.1327,0.174,0.1291,0.1433,977913938.82
2021-04-11,0.1432,0.166,0.1375,0.1489,629693632.66
2021-04-12,0.1488,0.161,0.1375,0.1415,300025762.48
2021-04-13,0.1415,0.1455,0.1311,0.136,186250386.62
2021-04-14,0.136,0.1374,0.1231,0.1307,204330865.12
2021-04-15,0.1309,0.1402,0.1306,0.1342,170714543.33
2021-04-16,0.1342,0.1385,0.1156,0.1241,222935061.77
2021-04-17,0.1241,0.135,0.1201,0.1228,211907287.57
2021-04-18,0.1228,0.1245,0.094,0.1066,302899239.02
2021-04-19,0.1068,0.1141,0.0936,0.0962,233023945.84
2021-04-20,0.0964,0.1088,0.0833,0.0993,316136572.63
2021-04-21,0.0995,0.105,0.091,0.0914,242378381.74
2021-04-22,0.0916,0.1044,0.0884,0.0901,289876799.22
2021-04-23,0.0901,0.0919,0.0693,0.0811,305646044.17
2021-04-24,0.081,0.0813,0.0712,0.0721,137321163.37
