Date,Open,High,Low,Close,Volume
2020-04-25,0.0885,0.0915,0.0874,0.0897,1512552.12
2020-04-26,0.0896,0.0968,0.0885,0.0938,3003893.9
2020-04-27,0.094,0.0945,0.0893,0.0911,1775767.42
2020-04-28,0.0916,0.095,0.0893,0.0922,1018774.66
2020-04-29,0.0924,0.0956,0.0894,0.095,1371497.22
2020-04-30,0.095,0.1013,0.0906,0.0918,1706089.86
2020-05-01,0.0918,0.0984,0.0917,0.0967,1080039.18
2020-05-02,0.0966,0.1043,0.0958,0.1043,926907.56
2020-05-03,0.0996,0.1001,0.0928,0.0974,959868.49
2020-05-04,0.0948,0.095,0.0905,0.0938,1057953.08
2020-05-05,0.0942,0.099,0.0919,0.0926,476800.85
2020-05-06,0.093,0.0949,0.0894,0.0903,697313.71
2020-05-07,0.0901,0.0925,0.0878,0.0922,1503916.6
2020-05-08,0.0924,0.1043,0.0904,0.0959,3352871.11
2020-05-09,0.0956,0.0998,0.091,0.0922,2284611.58
2020-05-10,0.0922,0.119,0.082,0.0988,20763234.21
2020-05-11,0.0988,0.0992,0.0866,0.0906,3697122.49
2020-05-12,0.0907,0.0932,0.0884,0.0914,1362850.05
2020-05-13,0.0923,0.0923,0.0903,0.0919,849852.86
2020-05-14,0.0918,0.0932,0.0901,0.0917,1040903.98
2020-05-15,0.0921,0.0948,0.0889,0.0896,1097899.35
2020-05-16,0.0904,0.0933,0.0896,0.092,477362.28
2020-05-17,0.0914,0.0944,0.0911,0.0918,464237.95
2020-05-18,0.0926,0.0961,0.0916,0.0953,1101005.84
2020-05-19,0.095,0.098,0.093,0.0952,891119.5
2020-05-20,0.0957,0.108,0.0949,0.1009,2673185.11
2020-05-21,0.1013,0.104,0.0913,0.1005,1581068.42
2020-05-22,0.1005,0.1499,0.0972,0.1092,8371677.19
2020-05-23,0.1093,0.1131,0.0996,0.1032,2012901.21
2020-05-24,0.1032,0.1099,0.0985,0.0985,2487144.14
2020-05-25,0.0985,0.1207,0.0984,0.1158,3164294.4
2020-05-26,0.1158,0.2236,0.1051,0.1467,36986138.97
2020-05-27,0.1467,0.1484,0.1211,0.1261,22594865.96
2020-05-28,0.1265,0.1269,0.1168,0.1206,4414819.59
2020-05-29,0.1206,0.1302,0.1147,0.1216,5641768.66
2020-05-30,0.1212,0.1253,0.1171,0.121,3537889.1
2020-05-31,0.1205,0.1236,0.1151,0.1165,1974786.06
2020-06-01,0.1156,0.1281,0.1156,0.122,3218581.85
2020-06-02,0.122,0.144,0.1212,0.1323,9518147.93
2020-06-03,0.1328,0.1378,0.125,0.1276,3880101.83
2020-06-04,0.1275,0.1289,0.1228,0.126,2021627.64
2020-06-05,0.1268,0.1275,0.1238,0.1241,1307706.95
