Date,Open,High,Low,Close,Volume
2020-04-25,0.5857,0.6045,0.576,0.5863,412484.93
2020-04-26,0.5849,0.6055,0.581,0.6025,278945.13
2020-04-27,0.6024,0.6047,0.5796,0.5925,289430.9
2020-04-28,0.5928,0.5997,0.5815,0.5978,160408.29
2020-04-29,0.5979,0.6753,0.5941,0.6347,1651208.3
2020-04-30,0.6329,0.69,0.5957,0.6242,1228820.89
2020-05-01,0.623,0.64,0.6163,0.6298,387098.28
2020-05-02,0.6283,0.644,0.6254,0.6393,227633.54
2020-05-03,0.6423,0.6665,0.6325,0.6467,569232.01
2020-05-04,0.6467,0.6494,0.6064,0.638,282067.09
2020-05-05,0.6365,0.6441,0.6101,0.6294,288599.41
2020-05-06,0.628,0.644,0.6051,0.6118,258396.68
2020-05-07,0.6115,0.64,0.6001,0.6351,420011.74
2020-05-08,0.6364,0.7199,0.6207,0.7019,1212304.81
2020-05-09,0.6987,0.7097,0.6545,0.6556,836298.83
2020-05-10,0.6556,0.6593,0.5653,0.6057,861479.32
2020-05-11,0.6057,0.6201,0.5625,0.5943,752658.89
2020-05-12,0.5943,0.6427,0.5921,0.6263,329304.79
2020-05-13,0.6263,0.7386,0.6263,0.6973,1757290.25
2020-05-14,0.6994,0.7373,0.6878,0.6965,1015969.76
2020-05-15,0.6983,0.7534,0.6502,0.7204,1210676.76
2020-05-16,0.7204,0.7891,0.7164,0.7487,909273.66
2020-05-17,0.7471,0.7679,0.7255,0.7316,679122.85
2020-05-18,0.733,0.8218,0.733,0.8041,1283249.48
2020-05-19,0.8041,0.9819,0.7891,0.9086,4601205.15
2020-05-20,0.9083,0.9672,0.85,0.894,2874863.27
2020-05-21,0.8928,0.9468,0.78,0.8212,2945653.24
2020-05-22,0.8246,0.999,0.8137,0.9542,2905961.33
2020-05-23,0.9531,1.01,0.905,0.9478,1848808.2
2020-05-24,0.9515,0.9844,0.872,0.8815,1622844.53
2020-05-25,0.8815,0.9554,0.8671,0.9398,1268778.77
2020-05-26,0.9399,0.9459,0.8848,0.8936,1089112.85
2020-05-27,0.891,0.9214,0.8842,0.9106,863897.86
2020-05-28,0.9114,0.9195,0.8615,0.9001,1171224.13
2020-05-29,0.9017,0.9134,0.8808,0.8922,667709.15
2020-05-30,0.8885,0.9071,0.8601,0.8984,1059376.39
2020-05-31,0.8985,0.904,0.8609,0.8728,727940.93
2020-06-01,0.8732,0.9356,0.8652,0.9149,1136512.32
2020-06-02,0.915,0.9375,0.84,0.8845,1211559.62
2020-06-03,0.8854,0.8999,0.858,0.889,394940.2
