Date,Open,High,Low,Close,Volume
2020-04-25,0.0196,0.0211,0.0193,0.0206,3339420.58
2020-04-26,0.0205,0.0217,0.0199,0.0214,4672783.53
2020-04-27,0.0215,0.0216,0.0204,0.0212,4201152.24
2020-04-28,0.0211,0.0233,0.0208,0.0225,17649745.45
2020-04-29,0.0225,0.0226,0.0212,0.0221,11802194.41
2020-04-30,0.0221,0.0229,0.0206,0.0209,8042526.0
2020-05-01,0.0209,0.0242,0.0209,0.0222,16344365.37
2020-05-02,0.0222,0.0242,0.0222,0.0234,10162882.74
2020-05-03,0.0236,0.024,0.0223,0.023,5616650.37
2020-05-04,0.023,0.023,0.0216,0.0228,2946338.08
2020-05-05,0.0228,0.023,0.0213,0.0221,3288751.26
2020-05-06,0.0221,0.0225,0.0214,0.0214,3456821.4
2020-05-07,0.0214,0.0224,0.0203,0.0209,5993982.19
2020-05-08,0.0209,0.022,0.0205,0.0215,3151418.89
2020-05-09,0.0215,0.0221,0.021,0.0212,1900452.19
2020-05-10,0.0211,0.0211,0.0177,0.0189,4936187.29
2020-05-11,0.019,0.0192,0.0172,0.0183,4289908.87
2020-05-12,0.0181,0.0193,0.0181,0.019,3696616.37
2020-05-13,0.0191,0.0199,0.0186,0.0195,6479219.3
2020-05-14,0.0195,0.0223,0.0193,0.0221,8227293.14
2020-05-15,0.0221,0.0246,0.0205,0.0206,19231824.19
2020-05-16,0.0208,0.0225,0.0204,0.0217,9276871.53
2020-05-17,0.0217,0.0221,0.0206,0.0208,5420200.41
2020-05-18,0.0207,0.0224,0.0205,0.022,5871995.42
2020-05-19,0.0223,0.0224,0.0211,0.0221,6016973.13
2020-05-20,0.0221,0.0229,0.0208,0.022,7047679.04
2020-05-21,0.022,0.0226,0.0201,0.0209,3997411.92
2020-05-22,0.0208,0.0248,0.0203,0.0221,14755589.02
2020-05-23,0.0222,0.0234,0.0215,0.0221,9716797.65
2020-05-24,0.0221,0.032,0.0221,0.028,43388050.13
2020-05-25,0.028,0.0293,0.0261,0.0274,30048482.49
2020-05-26,0.0275,0.0312,0.0263,0.0279,16661866.03
2020-05-27,0.0279,0.0283,0.0256,0.027,10954975.56
2020-05-28,0.0268,0.0272,0.0257,0.0269,3291684.44
2020-05-29,0.0267,0.0295,0.0265,0.0288,8958236.63
2020-05-30,0.0288,0.0307,0.0272,0.0283,14216313.73
2020-05-31,0.0281,0.0285,0.0263,0.0267,7954801.73
2020-06-01,0.0266,0.0289,0.0266,0.0278,7604411.88
2020-06-02,0.0279,0.0289,0.0251,0.0275,5571190.96
2020-06-03,0.0272,0.0301,0.027,0.0296,6649856.23
2020-06-04,0.0295,0.0315,0.0288,0.0308,6076898.81
2020-06-05,0.0308,0.0318,0.0288,0.0294,6295437.02
2020-06-06,0.0293,0.0298,0.0289,0.0294,1643908.65
2020-06-07,0.0294,0.0307,0.0285,0.0303,4119557.15
2020-06-08,0.0305,0.0345,0.03,0.0334,14039618.53
2020-06-09,0.0336,0.0344,0.0314,0.0319,7990264.26
2020-06-10,0.0318,0.0336,0.0304,0.032,7369088.3
2020-06-11,0.032,0.0326,0.0284,0.0287,5893635.42
2020-06-12,0.0286,0.0311,0.0285,0.0309,4220802.79
2020-06-13,0.031,0.0316,0.0302,0.031,5119784.86
2020-06-14,0.031,0.0316,0.0294,0.0297,4231004.68
2020-06-15,0.0297,0.03,0.027,0.0291,5077818.51
2020-06-16,0.0291,0.031,0.0289,0.0304,3714685.46
2020-06-17,0.0303,0.0315,0.0295,0.0301,5377273.77
2020-06-18,0.0301,0.0329,0.0293,0.0313,8746111.11
2020-06-19,0.0315,0.037,0.0305,0.0353,15491867.19
2020-06-20,0.0353,0.0365,0.0334,0.0361,9382548.97
2020-06-21,0.0361,0.0365,0.0337,0.0337,4946838.68
2020-06-22,0.0337,0.0352,0.0334,0.0342,6148244.81
2020-06-23,0.0342,0.0364,0.0337,0.0353,4070147.71
2020-06-24,0.0352,0.0358,0.0319,0.0334,7867900.33
2020-06-25,0.0334,0.034,0.0312,0.0329,8189051.48
2020-06-26,0.0329,0.0332,0.0307,0.0324,3836574.49
2020-06-27,0.0324,0.0325,0.027,0.0285,4308096.89
2020-06-28,0.0284,0.0303,0.0283,0.0293,3146970.38
2020-06-29,0.0293,0.0296,0.0281,0.0294,1968508.12
2020-06-30,0.0298,0.0318,0.0286,0.0301,4763408.64
2020-07-01,0.03,0.0328,0.0294,0.0316,3637167.13
2020-07-02,0.0316,0.032,0.0293,0.0302,2666363.44
2020-07-03,0.0304,0.0316,0.0303,0.0311,2404990.27
2020-07-04,0.031,0.0322,0.031,0.0315,1750351.3
2020-07-05,0.0317,0.0317,0.0304,0.0307,2840834.57
2020-07-06,0.0309,0.032,0.0305,0.0316,2539717.22
2020-07-07,0.0316,0.0318,0.0308,0.0313,3625692.75
2020-07-08,0.0312,0.034,0.0306,0.0338,7423407.22
2020-07-09,0.0338,0.0344,0.0321,0.0329,5052615.32
2020-07-10,0.033,0.0372,0.0321,0.035,13192740.62
2020-07-11,0.0353,0.0405,0.0352,0.0387,15492439.8
2020-07-12,0.0385,0.0403,0.0373,0.0388,7046922.12
2020-07-13,0.0388,0.0396,0.0363,0.0372,7392687.34
2020-07-14,0.0371,0.0392,0.0359,0.0372,5793230.5
2020-07-15,0.0374,0.0592,0.0367,0.0551,49163770.16
2020-07-16,0.0553,0.0568,0.0483,0.0529,34685415.36
2020-07-17,0.0526,0.063,0.0501,0.061,24903254.15
2020-07-18,0.0607,0.0617,0.0535,0.0588,13841454.12
2020-07-19,0.0587,0.0615,0.0542,0.0551,11035371.52
2020-07-20,0.0551,0.0597,0.0532,0.0574,10172569.39
2020-07-21,0.0574,0.0582,0.0545,0.0573,6454676.23
2020-07-22,0.0572,0.07,0.0556,0.0638,16404304.21
2020-07-23,0.0637,0.0735,0.0621,0.0631,14335404.36
2020-07-24,0.0634,0.065,0.0608,0.0613,7507692.96
2020-07-25,0.0614,0.0631,0.0589,0.0596,6236806.07
2020-07-26,0.0595,0.0614,0.054,0.0559,8505832.48
2020-07-27,0.056,0.0562,0.0446,0.0508,18610224.94
2020-07-28,0.0506,0.0584,0.0494,0.0563,7775925.51
2020-07-29,0.0563,0.0674,0.0538,0.065,11452825.69
2020-07-30,0.0651,0.0653,0.0571,0.0595,8496338.27
2020-07-31,0.0595,0.0618,0.0579,0.0599,3680587.9
2020-08-01,0.0598,0.0599,0.0549,0.056,7336671.81
2020-08-02,0.056,0.0606,0.0501,0.0578,7567197.69
2020-08-03,0.0581,0.0645,0.0566,0.0593,8830955.57
2020-08-04,0.0593,0.0605,0.0575,0.0596,3830735.56
2020-08-05,0.0595,0.0773,0.0587,0.076,20141053.9
2020-08-06,0.0761,0.1025,0.0755,0.0894,39376782.0
2020-08-07,0.0896,0.0915,0.0797,0.0856,13422945.7
2020-08-08,0.0851,0.0888,0.0784,0.0822,14240449.9
2020-08-09,0.0822,0.089,0.0795,0.0863,10088755.38
2020-08-10,0.0863,0.0873,0.0775,0.0825,12236768.0
2020-08-11,0.0829,0.1018,0.0814,0.1014,37243439.66
2020-08-12,0.1011,0.106,0.0929,0.0995,40040529.59
2020-08-13,0.0993,0.1097,0.0946,0.1071,37096447.59
2020-08-14,0.1074,0.1296,0.1067,0.1162,47380289.13
2020-08-15,0.1162,0.1169,0.1061,0.1074,22530542.2
2020-08-16,0.1076,0.11,0.1034,0.1083,29300701.86
2020-08-17,0.1083,0.1121,0.0969,0.1029,29237991.05
2020-08-18,0.103,0.1031,0.0938,0.096,45164798.86
2020-08-19,0.0955,0.0964,0.0822,0.0841,15388736.9
2020-08-20,0.0837,0.0987,0.0757,0.0955,9743722.68
2020-08-21,0.096,0.0997,0.0837,0.0843,6607207.79
2020-08-22,0.0843,0.0876,0.0775,0.0865,4235745.85
2020-08-23,0.0865,0.0869,0.0811,0.0821,2799976.2
2020-08-24,0.082,0.0906,0.0809,0.0894,5044227.72
2020-08-25,0.0894,0.0959,0.0781,0.0827,10081357.15
2020-08-26,0.0827,0.0942,0.0815,0.0895,13331769.97
2020-08-27,0.0893,0.094,0.079,0.0821,9018664.39
2020-08-28,0.0821,0.088,0.081,0.0878,2820798.8
2020-08-29,0.0875,0.092,0.0867,0.0889,2485585.3
2020-08-30,0.0889,0.0896,0.0849,0.0867,3014436.18
2020-08-31,0.0867,0.0966,0.086,0.0927,7124434.04
2020-09-01,0.0924,0.1116,0.0908,0.1024,18752298.37
2020-09-02,0.1024,0.1045,0.085,0.0895,12182951.88
2020-09-03,0.0895,0.0906,0.0591,0.0639,9922770.18
2020-09-04,0.0639,0.0692,0.0592,0.0662,8490015.2
2020-09-05,0.0662,0.0701,0.0512,0.0564,5890259.84
2020-09-06,0.0564,0.0688,0.0563,0.0636,9144827.79
2020-09-07,0.0632,0.0638,0.053,0.0607,5675913.47
