Date,Open,High,Low,Close,Volume
2021-03-22,0.68,1.3,0.575,0.5877,91544062.47
2021-03-23,0.586,0.589,0.525,0.5415,18846820.52
2021-03-24,0.541,0.8299,0.52,0.6421,86114471.34
2021-03-25,0.6445,0.71,0.5212,0.5587,45343543.75
2021-03-26,0.5586,0.659,0.5551,0.6534,21866521.34
2021-03-27,0.6534,0.7681,0.6175,0.6786,32570743.83
2021-03-28,0.6786,0.76,0.6612,0.6769,17171077.39
2021-03-29,0.6745,0.7502,0.6347,0.7298,19889139.51
2021-03-30,0.7298,0.8768,0.7284,0.753,28064226.65
2021-03-31,0.7531,0.8489,0.7437,0.8224,19555388.03
2021-04-01,0.8246,0.8446,0.6735,0.7163,19513711.86
2021-04-02,0.7162,0.7343,0.682,0.6911,11087307.23
2021-04-03,0.6912,0.6939,0.6014,0.6029,19740246.59
2021-04-04,0.6019,0.6585,0.5871,0.6321,13094403.39
2021-04-05,0.6321,0.6999,0.593,0.6687,15475383.56
2021-04-06,0.6668,0.7382,0.6132,0.6323,14039631.78
2021-04-07,0.6316,0.648,0.587,0.6001,10359276.55
2021-04-08,0.6028,0.7103,0.5945,0.6875,16813438.58
2021-04-09,0.6886,0.99,0.66,0.951,56558673.19
2021-04-10,0.9511,0.9897,0.7686,0.8042,68786466.55
2021-04-11,0.805,0.8762,0.7783,0.8652,16910063.91
2021-04-12,0.8669,0.9309,0.7623,0.8154,23733675.09
2021-04-13,0.8151,0.83,0.7302,0.7458,19226726.84
2021-04-14,0.7458,0.8389,0.6896,0.8107,17292154.89
2021-04-15,0.811,0.84,0.7165,0.7423,21667653.81
2021-04-16,0.7423,0.7492,0.6747,0.6806,12640576.29
2021-04-17,0.68,0.736,0.662,0.6638,13980786.6
2021-04-18,0.6659,0.6754,0.53,0.6414,16962116.45
2021-04-19,0.6404,0.6516,0.5532,0.5774,10121998.17
2021-04-20,0.5763,0.6248,0.4843,0.6011,31425526.89
2021-04-21,0.6013,0.6175,0.5275,0.5332,34079648.86
2021-04-22,0.5333,0.554,0.4545,0.4714,30663760.69
2021-04-23,0.4713,0.4788,0.3841,0.4506,18109215.72
2021-04-24,0.45,0.451,0.3987,0.4014,17909128.11
