Date,Open,High,Low,Close,Volume
2020-04-25,81.38,88.19,80.45,85.78,110382.02633
2020-04-26,85.75,87.5,81.93,84.12,123447.45116
2020-04-27,84.15,84.6,80.03,82.75,116450.1682
2020-04-28,82.73,83.13,79.75,82.21,90956.57783
2020-04-29,82.23,86.1,82.01,85.36,158868.61638
2020-04-30,85.38,88.77,80.24,80.74,204337.47107
2020-05-01,80.72,83.98,80.72,82.95,85529.75686
2020-05-02,82.93,83.76,81.6,83.26,57455.69932
2020-05-03,83.29,83.88,79.8,81.07,64986.63162
2020-05-04,81.09,81.2,75.36,79.54,88955.28744
2020-05-05,79.54,81.13,77.62,79.37,47651.49174
2020-05-06,79.45,80.98,76.65,77.11,55658.29396
2020-05-07,77.15,80.18,76.29,78.76,80057.50512
2020-05-08,78.78,83.26,77.0,81.8,104474.49072
2020-05-09,81.79,82.5,79.03,79.59,69717.81564
2020-05-10,79.61,79.63,68.4,72.1,175512.38769
2020-05-11,72.16,73.46,66.11,69.73,129034.47344
2020-05-12,69.74,75.03,69.34,73.31,84472.00875
2020-05-13,73.22,74.8,72.18,73.81,53489.66559
2020-05-14,73.84,75.86,73.14,74.56,53605.54899
2020-05-15,74.54,74.96,71.83,72.44,57496.11399
2020-05-16,72.45,74.48,72.09,73.71,45053.21481
2020-05-17,73.65,77.19,73.47,75.03,75524.7433
2020-05-18,75.02,78.36,74.84,76.2,71217.277
2020-05-19,76.21,77.25,73.98,77.15,57472.09282
2020-05-20,77.21,78.61,74.73,78.35,82734.15623
2020-05-21,78.33,78.62,71.0,73.09,78273.13025
2020-05-22,73.12,75.57,72.4,74.77,55764.86652
2020-05-23,74.77,75.8,73.36,73.87,48331.10005
2020-05-24,73.85,75.46,71.58,71.67,57680.89114
2020-05-25,71.67,73.73,70.93,73.6,33454.71688
2020-05-26,73.56,73.86,71.26,72.61,44621.44898
2020-05-27,72.61,74.68,72.32,73.6,47054.30102
2020-05-28,73.6,75.3,72.43,75.06,43733.68097
2020-05-29,75.08,75.6,73.31,74.16,47813.93516
2020-05-30,74.17,79.68,73.52,79.01,103075.68133
2020-05-31,79.01,80.88,75.55,76.33,77435.08359
2020-06-01,76.32,80.4,75.59,80.06,92745.69787
2020-06-02,80.08,82.28,76.01,78.26,108927.88649
2020-06-03,78.18,78.67,76.63,78.2,59641.52931
2020-06-04,78.23,79.15,76.64,78.6,58446.26512
2020-06-05,78.52,79.82,77.72,77.81,44672.7812
2020-06-06,77.84,79.22,77.06,78.3,28314.39715
2020-06-07,78.31,78.77,75.82,77.99,31826.94331
2020-06-08,78.0,78.35,77.0,77.77,23624.54078
2020-06-09,77.79,78.03,76.59,77.42,23087.51963
2020-06-10,77.45,78.35,77.02,78.21,30382.50707
2020-06-11,78.23,78.71,71.76,72.24,69195.78222
2020-06-12,72.24,74.87,71.07,73.27,42187.33381
2020-06-13,73.27,74.39,72.56,74.18,22517.90796
2020-06-14,74.19,74.36,71.94,72.56,25223.59019
2020-06-15,72.55,72.62,68.5,71.77,48047.05676
2020-06-16,71.86,73.18,71.4,72.63,35170.2387
2020-06-17,72.66,73.51,70.83,72.42,24981.86909
2020-06-18,72.43,72.65,70.68,71.46,22382.29368
2020-06-19,71.44,71.44,69.87,70.1,23931.35415
2020-06-20,70.08,71.2,69.18,71.01,23835.71053
2020-06-21,71.02,71.37,69.96,70.14,16877.09746
2020-06-22,70.14,72.81,70.02,72.33,27962.04173
2020-06-23,72.32,76.42,71.52,74.01,68535.86342
2020-06-24,74.06,75.3,70.76,72.42,60080.00637
2020-06-25,72.39,72.43,70.04,71.11,26674.84802
2020-06-26,71.08,71.57,69.71,70.68,21882.47201
